"URL","Price","Date","Make","Model","Year","Mileage_in_KM","Transmission","City","Color","Fuel_Type","Class","Body_Style","Cylinder_Count","Engine_Capacity"
"https://www.contactcars.com/en/used-cars/opel-astra/b838f59329cb","630000","10/26/2025","Opel","Astra","2015","140000","Automatic","Giza","Dark Grey","Gas","null","Sedan","4","1600CC"
"https://www.contactcars.com/en/used-cars/bmw-x1/8256898c8e28","1600000","10/26/2025","BMW","X1","2020","95000","Automatic","Cairo","Black","Gas","null","SUV","","1600CC"
"https://www.contactcars.com/en/used-cars/bmw-x5/7813ea7399f7","7350000","10/26/2025","BMW","X5","2024","20000","Automatic","Cairo","Black","Gas","null","SUV","8","4400CC"
"https://www.contactcars.com/en/used-cars/daewoo-lacetti/8f231c0f4154","450000","10/26/2025","Daewoo","Lacetti","2005","280000","Automatic","Gharbia","Black","Gas","null","Sedan","4","1600CC"
"https://www.contactcars.com/en/used-cars/jeep-grand_cherokee/2d86f501acfb","1950000","10/26/2025","Jeep","Grand Cherokee","2015","94000","Automatic","Cairo","Maroon","Gas","null","SUV","8","5700CC"
"https://www.contactcars.com/en/used-cars/volkswagen-jetta/c1c45ee5ee75","680000","10/26/2025","Volkswagen","Jetta","2010","250","Automatic","Cairo","Black","Gas","null","Sedan","4","2000CC"
"https://www.contactcars.com/en/used-cars/kia-sportage/debd8fcc2f70","2150000","10/26/2025","Kia","Sportage","2024","8000","Automatic","Cairo","White","Gas","null","SUV","","1600CC"
"https://www.contactcars.com/en/used-cars/range_rover-vogue/42bb4b9fdb52","5500000","10/26/2025","Range Rover","VOGUE","2018","130000","Automatic","Alexandria","Gray","Gas","null","SUV","6","3000CC"
"https://www.contactcars.com/en/used-cars/mercedes-c180/e78c0dc2048f","1450000","10/26/2025","Mercedes","C180","2013","103000","Automatic","Cairo","Black","Gas","null","Sedan","4","1600CC"
"https://www.contactcars.com/en/used-cars/mercedes-e200/e384d8385e3c","5050000","10/26/2025","Mercedes","E200","2024","1900","Automatic","Cairo","Dark Grey","Gas","null","Sedan","4","2000CC"
"https://www.contactcars.com/en/used-cars/volkswagen-tiguan/b38956ad11b1","2100000","10/26/2025","Volkswagen","Tiguan","2024","33200","Automatic","Giza","Black","Gas","null","SUV","4","1400CC"
"https://www.contactcars.com/en/used-cars/peugeot-307/adc1d179000f","320000","10/26/2025","Peugeot","307","2007","153000","Automatic","Alexandria","Black","Gas","null","SUV","4","1600CC"
"https://www.contactcars.com/en/used-cars/mercedes-glc_300/460feffe1d15","4250000","10/26/2025","Mercedes","GLC 300","2023","23000","Automatic","Cairo","White","Gas","null","Hatchback","4","1300CC"
"https://www.contactcars.com/en/used-cars/audi-q8/83a002d87c0c","5650000","10/26/2025","Audi","Q8","2023","15000","Automatic","Cairo","Gray","Gas","null","SUV","6","3000CC"
"https://www.contactcars.com/en/used-cars/porsche-cayenne_s/8232da56caf1","10500000","10/26/2025","Porsche","Cayenne S","2024","23000","Automatic","Cairo","Black","Gas","null","Other","8","4000CC"
